price,floors,view,condition,sqft_living15
660000,1,2,3,2340
391500,1,0,3,1580
395000,1,0,3,1710
445000,1.5,0,5,1850
770000,2,0,3,2700
1.45E+06,1.5,0,3,3060
445000,1,2,3,2660
260000,1,0,3,2090
822500,2,0,5,1700
430000,2,0,3,1970
212000,1,0,4,1420
660500,1,0,3,2060
784000,1.5,0,3,2480
453246,2,0,3,1690
675000,3,0,3,1540
199000,1,0,4,1550
220000,1,0,3,1750
452000,1,0,4,1550
382500,1,0,3,1060
519950,3,0,3,1350
665000,1,0,3,1170
527700,1,0,4,2820
205000,1,0,4,1610
420000,1,0,4,1560
500000,1,0,4,2230
921500,2,0,4,2840
890000,2,0,3,2200
430000,2,0,3,1940
258000,1,0,4,1360
511000,1,0,3,1450
532170,2,0,3,1500
560000,1.5,0,3,1420
282950,1,0,4,1680
2.25E+06,2,3,3,3160
350000,1,0,3,1010
215000,1,0,4,1190
650000,2,0,3,2640
320000,1,0,3,1980
247000,1.5,0,3,1160
320000,1,0,4,1730
255000,1,0,3,1010
438000,1,0,3,1200
900000,2,0,3,3400
441000,1,0,3,1710
420000,1,0,4,2110
370000,1,0,3,1640
269950,1,0,5,1830
807100,2,0,3,2920
653000,1,0,4,2480
371500,1,0,5,1770
284000,1,0,3,1070
272000,1,0,4,1930
313000,1.5,0,3,1480
917500,2,0,3,3740
673000,2,0,4,2260
425000,2,0,3,1590
399950,1,0,3,1280
385000,1,0,3,1200
269950,1,2,4,1950
330000,1,0,3,1540
260000,2,0,3,1670
470000,1.5,0,4,1410
589000,2,0,5,2290
163500,2,0,3,1050
835000,2,0,3,2260
1.10E+06,1,2,4,2540
269000,1,0,4,2190
560000,2,0,3,2030
615000,1.5,0,4,1330
585188,1,0,3,2230
305000,1,0,3,1540
166950,1,0,3,1230
799000,1,0,4,2680
400000,1,0,4,1900
230000,1,0,3,1570
256883,2,0,3,2550
423000,1.5,0,5,1500
465000,2,0,3,1750
440000,2,0,3,2330
385000,1,0,4,1560
210000,1,0,4,1300
297000,2,0,3,2030
470000,1,0,3,1680
226500,1,0,4,1430
274250,1,0,4,1400
840000,1,0,4,2770
677900,2,0,3,2750
425000,1,0,3,1290
180250,1,0,3,1250
464000,2,0,3,1560
320000,2,0,3,1630
625504,2,0,3,1160
592500,1,0,3,2520
465000,2,0,3,2590
477000,2,0,3,2130
280000,1,0,3,1100
1.51E+06,1,3,3,3836
445838,2,0,3,1320
1.07E+06,1,3,3,2580
467000,1,0,4,2120
686000,2,0,3,3070
279950,1,0,3,1900
527000,2,0,3,1910
325000,1,0,4,2080
328000,2,0,3,2020
390000,1,0,5,1280
479950,1,0,3,1640
264950,1,0,4,1510
235000,1,0,4,1960
516500,2,0,3,2250
655000,2,4,3,2030
500000,1,0,5,2280
315000,1,0,3,2120
213000,1,0,3,1150
475000,1.5,0,5,2090
1.03E+06,2,0,3,3430
416000,1,0,5,2070
410000,1.5,0,3,1510
800000,2,0,3,2920
472000,1,2,4,2600
225000,1,0,4,1190
210000,1,0,3,830
455000,1.5,0,2,1450
225000,1,0,4,1260
480000,1,2,4,1390
363000,2,0,3,2570
2.40E+06,1,4,3,3120
181000,1,0,3,1150
250000,1,0,4,2010
481000,1,0,4,1390
260000,1,0,4,1750
455000,2,0,3,3060
415000,2,0,3,1730
349500,1,0,3,1620
245000,2,0,3,1630
592500,1.5,2,5,1420
385000,1,0,4,1910
315000,1,0,4,1550
255000,1,0,3,1380
693000,2,0,3,2990
780000,1.5,0,3,1660
237000,1,0,4,1600
525000,2,0,3,2380
425000,1,0,3,1330
369900,1,4,5,1230
290000,2,0,4,1950
285000,1,0,3,1130
415000,1,0,3,1320
272500,1,0,3,2070
2.90E+06,1.5,2,3,3890
1.37E+06,2,0,4,4180
436000,1,0,4,1440
210000,1,0,4,1350
236000,1,0,3,1320
331000,1,0,3,1440
365000,2,0,3,2653
450000,1,0,5,1660
770000,2,0,3,1860
455000,1,0,3,2670
405000,1,0,3,2020
304900,1,0,4,1720
170000,1,0,3,1650
2.05E+06,2,1,5,3050
780000,2,0,3,3920
330000,1,0,4,2570
370000,2,0,3,2410
467000,1,0,3,2300
405000,1,0,3,1670
675000,1,0,3,2310
500000,1,0,4,1520
389999,2,0,4,2410
630000,1,2,4,2120
360000,2,0,3,2280
580000,2,0,3,2320
550000,2,3,5,2390
879000,2,0,3,3150
265000,1,0,3,1740
446500,2,0,3,2400
404000,1,0,3,2140
267500,1,2,3,1630
3.08E+06,1,4,3,4550
335000,2,0,3,2510
576000,1,0,4,2190
208633,2,0,3,2370
315000,1,0,4,1460
725000,1,0,4,1740
550000,1,0,4,1800
610750,2,0,3,2250
550700,1.5,0,4,1460
665000,2,0,5,2720
834000,1.5,2,5,2440
201000,1.5,0,3,1660
2.38E+06,2,4,5,2880
1.38E+06,1,3,3,3860
1.40E+06,1,3,3,3860
305000,1,0,3,2150
487000,1,0,5,1570
390000,1,0,4,2350
548000,1,0,4,1570
268750,1,0,3,1310
819900,2,0,3,1560
520000,2,0,3,2660
230000,1,0,3,1520
240000,1,0,3,1510
232000,1,0,3,1820
240500,1,0,3,1820
274975,2,0,3,3080
740000,1.5,0,4,2320
186375,1,0,2,1150
790000,1,0,4,2500
880000,2,0,3,2370
279000,2,0,4,1590
295000,1,2,3,1910
640000,1,0,3,1710
940000,2,0,5,2770
260000,2,0,3,1800
559900,1,0,3,2580
791500,1.5,0,5,1820
265000,1,0,3,1740
245000,1,0,3,880
485000,2,0,4,2560
684000,2,0,3,3470
425000,1,0,3,1580
309600,1,0,4,1660
552250,2,0,3,2380
165000,1,0,3,1020
239900,1,0,3,1020
320000,1,0,4,1360
206600,1,0,4,1720
387000,1,0,3,2040
299000,1,0,3,1300
855000,2,0,3,2610
315000,1,0,4,1940
437500,1,2,5,1930
252000,1,0,4,1640
375000,1,0,5,1600
300000,2,0,3,2010
420000,1.5,0,4,1750
900000,1,0,3,1340
679900,2,2,3,1520
463000,2,0,3,1580
380000,2,0,4,2470
329500,2,0,3,1820
604950,1,0,3,2040
795000,1,2,4,2920
465000,2,0,3,1380
673000,2,0,3,2140
810000,2,0,3,3400
785000,1,0,4,2770
338000,1,0,3,1810
280000,2,0,3,1430
315000,1,0,5,1810
530000,1,0,5,1810
380000,2,0,3,2860
297000,2,0,3,1650
730000,2,0,3,3480
450000,1,0,3,1770
275000,1,0,3,1680
595000,2,0,3,1910
435000,1.5,0,3,1590
270000,1,0,1,3130
950000,2,0,3,3360
389000,2,0,3,2300
560000,1,0,3,2420
1.35E+06,2,2,3,4050
799000,2,0,4,2450
365500,1,0,4,1410
252350,1,0,3,1710
403950,2,0,3,1880
385000,1,0,3,1610
345000,1.5,0,3,1450
490000,2,0,4,1950
330000,2,0,3,1790
927000,2,0,3,3180
1.12E+06,2,1,4,3600
330000,1,0,5,2000
530000,1,0,4,2110
365000,1,0,1,2000
378750,1.5,0,3,1060
269900,1.5,0,4,1390
557000,2,0,3,1630
360000,1,0,4,1880
352000,1,0,4,1560
437000,2,0,3,2430
322500,2,0,3,1820
650000,2,0,3,1510
450000,3,0,3,1290
278500,1,0,3,1570
364950,2,0,3,2090
840000,1,4,4,3180
268000,2,0,3,1550
517534,1,0,3,1380
632925,2,0,4,2990
577500,2,0,3,2450
339000,1.5,2,3,2850
570000,1,0,4,2520
563500,1,0,3,2690
423000,1,0,5,1910
355000,2,0,3,2320
1.55E+06,2,0,3,4680
482000,1,0,3,1320
625000,1,0,5,1580
538000,2,0,3,2360
380000,2,0,4,2310
375000,1,0,3,1300
245000,1,0,5,1850
310000,1,0,4,1620
1.30E+06,1,0,4,3530
397000,1,0,3,1460
365000,2,0,3,2310
328500,2,0,3,2290
988000,2,0,3,3930
1.00E+06,1.5,0,5,1810
237000,2,0,3,1490
525000,2,0,3,2300
749000,1,0,3,2140
722500,2,0,3,3180
843000,2,0,3,2860
438000,3,0,3,1610
578000,1,2,3,2460
227950,1,0,5,2077
196000,2,0,3,1890
641000,1,0,3,2400
350000,1,0,4,1930
205000,1,0,4,1150
400000,1,0,3,1920
1.03E+06,1,0,3,3630
505000,1,0,3,1510
475000,1,0,3,1930
520000,1,0,5,2580
1.45E+06,2,2,3,2610
333500,1,0,3,1630
232000,1,0,4,1230
691100,1,0,4,2120
811000,1,0,4,1900
551000,2,0,3,2500
496500,2,0,3,2350
705000,2,3,4,2280
578000,1,2,5,2460
255000,1,0,5,1490
1.05E+06,2,0,3,3220
348000,2,0,4,2400
230000,2,0,3,1570
359500,2,0,3,2480
330000,1,0,3,1220
80000,1,0,2,1200
465000,1,0,3,1480
325000,2,0,3,2100
340500,1,0,4,1770
342500,2,0,3,1810
290900,2,0,3,1310
868700,2,0,3,3230
1.20E+06,2,1,3,2820
1.15E+06,2,0,3,4300
859900,2,0,3,3390
520000,2,0,3,1580
460000,2,2,3,1610
438924,1,0,3,1770
315000,1,0,3,1420
590000,1,2,3,2920
378500,1,0,3,1620
328500,2,0,4,2350
849950,2,0,4,2230
525000,1,2,3,1730
1.39E+06,2.5,0,3,3850
295000,1,0,4,2060
1.07E+06,2,0,3,3600
207950,1,0,3,1860
699900,2,0,3,2820
1.28E+06,2,1,4,3080
452000,1,0,4,1560
370000,1,1,4,1680
232000,1,0,5,1300
669950,2,0,4,1910
397500,1,0,3,1660
490000,2,0,3,1240
725000,2,0,3,1440
299000,1,2,4,2424
625000,1.5,0,4,1590
437500,2,0,3,2530
650000,2,0,3,3030
475000,1,0,3,1460
342000,1,0,4,2200
1.20E+06,2,0,3,2720
280000,1,0,4,1930
240000,1,0,3,1450
529000,1.5,0,4,1640
442000,1,0,4,1690
615000,1,0,4,1420
1.49E+06,2,0,3,2160
585000,1,0,4,1980
480000,2,0,3,2830
1.10E+06,2,0,4,2900
290000,1.5,0,3,1220
615000,1,0,5,1770
300000,1,0,4,1460
308000,1.5,0,3,1860
750000,2,0,3,2080
2.25E+06,2.5,0,5,2950
890000,2,0,3,2200
288000,1,0,5,1190
190000,1,0,3,1470
515000,1,0,3,2290
235000,1,0,4,1690
275000,1,0,3,940
727500,1,0,4,1380
650000,2,0,3,2740
1.60E+06,2,3,3,4210
365000,1.5,0,3,1320
662000,1,0,3,2590
270500,1,0,3,1680
200000,2,0,3,1360
970000,2,0,3,3340
160000,1,0,4,1400
204000,1,0,4,1580
358000,2,0,4,1780
452000,1,0,3,1870
595000,1,0,4,1920
249000,1,0,3,1360
346900,2,0,3,2230
2.13E+06,2,4,4,3980
280000,2,0,3,1560
318888,1,0,4,2120
530000,1,0,3,2480
375000,2,0,4,2120
910000,2,0,3,3920
782000,2,0,4,2560
259950,2,0,3,1070
315000,1,0,4,1870
215000,1,0,4,1190
705000,1,2,4,2180
1.45E+06,2,3,5,3080
451000,2,0,3,1520
261000,1,0,4,1340
396000,1,0,5,1570
725000,2,3,3,3715
1.95E+06,2,1,3,3230
238000,1.5,0,3,1310
750000,2,0,4,2040
331500,2,0,3,2050
460000,1,0,3,1960
404950,1,0,4,2340
880000,2,0,3,1630
863000,2,0,3,3180
638700,1,0,3,1870
435000,2,0,3,1600
260000,1.5,0,4,1490
671500,1.5,0,5,2040
610000,1.5,0,3,1440
405000,1,0,4,1870
338900,2,0,3,1830
720000,2,0,3,3480
442000,1.5,0,4,1080
650000,1.5,0,5,1590
263500,1,0,3,1330
300000,1,0,4,2010
266000,2,0,3,2095
930000,2.5,2,3,2700
530000,2,0,3,2450
180000,1,0,4,1000
619000,2,0,3,3180
264000,1,0,4,1380
730000,1.5,4,4,2130
439000,2,0,3,2060
268500,1,0,4,1500
330000,1,0,3,1470
640000,1.5,0,3,2160
900000,2,0,4,3030
370000,2,0,4,2470
685000,1.5,0,5,1910
505000,1,0,3,2450
265000,1,0,4,2050
290000,2,0,3,1610
296000,2,0,3,2020
360000,2,0,3,1830
240500,1,0,3,1220
372500,2,0,3,1540
595000,2,2,3,3330
515000,2,0,3,2860
1.22E+06,2,0,4,3070
507000,1,0,3,2170
399950,1,0,3,2560
185000,2,0,3,1560
460000,1,0,3,1440
435500,2,0,3,1560
469000,1,0,5,2050
531000,2,0,3,1290
443500,1,0,3,1150
223000,1,0,3,1660
590000,2,0,3,2200
340000,3,0,3,1200
650000,1,0,4,1780
533600,2,0,4,2190
695000,2,0,3,2600
242000,1.5,0,4,1500
425000,1,0,3,1810
525000,2,0,3,1290
485000,2,0,3,2040
175000,1,0,3,1390
210000,1,0,3,1700
260000,2,0,3,1930
577000,1,0,3,1920
200000,1,0,4,1408
605000,1,0,4,1530
325000,1,0,4,1440
289500,1,0,4,1200
559950,3,0,3,1660
1.04E+06,1,1,4,2760
543500,1,0,3,1920
480000,2,0,4,3110
218000,1,0,5,1080
565000,1,0,4,1620
426700,1,0,5,1680
650000,1,3,3,2390
542000,1,0,3,1760
415000,1,0,3,1200
214000,1,0,4,1200
245000,2,0,5,1220
314500,1,0,3,2180
1.12E+06,2,0,5,1820
378000,1,0,3,950
305000,1,0,3,1540
595000,1,0,4,2620
729500,3,1,3,1510
430000,2,0,3,2360
240000,1,0,3,1760
545000,1.5,0,3,1680
530000,1,0,3,1580
157000,1,0,3,1250
425000,1.5,0,3,1170
220000,1,0,3,1300
521000,1,0,4,2520
325000,1,2,3,2000
597500,1.5,0,4,1940
337000,2,0,3,1490
1.00E+06,2,2,3,3000
3.07E+06,1,4,4,2730
495000,1,0,3,1250
748000,2,0,3,2180
888000,1,0,4,1750
269900,1,0,3,1150
496500,1,0,3,2090
475000,2,0,3,1880
312000,3,0,3,1307
323000,1,0,3,1390
331000,1,0,3,1890
306000,3,0,3,1220
655000,3,0,3,1640
290000,1,0,4,1940
1.25E+06,2,0,5,2220
460000,1,0,4,1880
435000,1,0,4,1380
664000,1,0,5,2390
865000,2,3,4,2180
385000,1,0,3,1800
497000,1,0,3,2230
280000,1,0,4,1150
188000,1,0,3,1690
478500,1,2,3,1850
1.15E+06,2,0,3,4190
222000,1,0,4,1440
799000,2,0,3,3440
609900,2,0,3,3250
413000,2,0,4,1620
400000,1.5,0,3,1110
802541,2,0,3,2870
320000,2,0,3,2430
507000,2,0,3,2730
387500,1,0,3,1490
396000,1,0,3,1820
373000,1,1,3,2140
1.48E+06,2,0,5,3180
359900,2,0,3,2330
410000,1,0,3,1210
690000,2,0,3,2900
245000,1,0,3,1670
700000,1,1,5,2670
268000,1,0,3,2400
225000,1,0,3,1350
980000,2,0,3,2300
795000,1.5,2,3,1500
195000,1,0,3,1170
480000,1,0,2,2180
485000,1,0,3,1630
130000,1,0,3,1410
325000,1,2,4,2240
440000,1,0,4,1530
550000,1,3,3,2910
310000,1,0,5,1350
530000,2,2,4,2700
390000,2,0,3,1970
243000,1,0,4,1210
639000,2,0,3,2440
215000,1,0,4,1540
405000,1,0,3,1420
250000,1,0,5,1770
405500,1,0,5,1300
452000,2,0,3,1120
730000,2,0,3,1120
267000,1,0,3,1430
289950,2,0,3,2390
565000,1,0,5,1300
1.58E+06,2,0,4,4230
636000,2,0,3,2510
350000,1,0,3,1700
320000,1,0,5,1720
210000,1,0,4,1320
245000,1,0,3,1280
328000,1,0,3,1590
985000,2,0,3,3890
501000,1,3,5,2460
315000,2,0,3,1560
403000,2,0,3,2280
550000,2,0,4,2030
347500,2,0,3,1708
365000,2,0,4,2390
588000,1,0,4,1500
605000,1,0,4,2360
1.30E+06,2,0,4,3090
233000,1,0,3,2020
360000,2,0,3,2210
459000,1,0,3,1170
740000,1,0,4,2290
305000,1,0,3,1160
395000,1,0,3,950
560000,2,0,3,2510
650000,1,1,4,2180
449950,2,0,3,2010
517500,1,3,4,2210
435000,1,0,3,1450
329999,1,0,3,1150
950000,1,4,5,2510
447000,1,0,5,1370
699800,1,0,3,1870
850000,1,0,5,1390
316500,1,0,3,2140
942500,1,2,4,3270
1.31E+06,2,4,3,3220
856600,1,0,4,2580
405600,2.5,0,4,1480
565000,2,0,3,2560
400000,2,0,3,1210
330000,1,0,3,2230
374950,2,0,3,2230
405300,1,0,5,1920
560000,2,0,3,2160
824000,1,0,4,2360
260000,1,0,5,1400
760000,1,0,5,2180
405000,2,0,3,2970
429900,2,0,3,2240
341500,1,0,4,1320
465250,1.5,0,3,1940
450000,1.5,0,3,1390
390000,1,0,4,1370
420000,1,0,4,2070
269950,2,0,3,1910
493000,1,0,3,1520
370000,2,0,3,2520
2.25E+06,1.5,1,5,3150
305000,1,0,5,1450
400000,1.5,0,5,2030
320000,2,0,3,1180
715000,2,0,4,1260
650000,1.5,0,4,2560
218000,1,0,4,2370
500000,1,0,3,1540
460000,1,0,4,2380
232500,1,0,4,1410
408200,2,0,4,1800
522000,1,0,4,1830
675000,2,0,3,3100
1.36E+06,1,2,3,4100
249950,1.5,0,3,1570
210000,1,0,3,1460
429950,1,0,3,1180
737500,2,0,3,2930
710000,1,0,5,1850
470000,2,0,3,2100
1.10E+06,1,0,4,3510
650000,1.5,0,3,2030
1.22E+06,1,3,5,3160
422120,2,0,3,1380
625000,2,0,3,3150
385200,1.5,0,3,1220
500000,2,0,3,1800
308000,2,0,3,1910
565000,1,0,5,2140
581000,2,0,3,2600
361000,1,0,3,2330
345000,1,0,4,1530
419000,2,0,3,1310
347000,2,0,3,2160
625000,2,0,3,3000
2.40E+06,2,2,3,3470
379000,2.5,0,3,1320
310000,2,0,3,1150
250000,1,0,4,1320
682000,2,0,3,2870
246500,1,0,3,1580
325000,1.5,0,4,1580
310950,2,0,3,2095
1.10E+06,2,2,5,2688
287500,1,0,4,1810
431000,1,0,4,1810
226000,1,0,3,1290
825000,1.5,0,5,1600
175000,1.5,0,3,1240
465750,1,0,3,1800
659000,2,0,3,2550
595000,1,3,3,1630
350000,2,0,4,1780
270000,1,0,4,2120
662500,1,2,3,1850
249900,1,0,4,1490
324500,1,0,4,1980
430000,1,0,3,1350
419950,1,0,3,1350
285000,1,2,4,1790
332000,2,0,3,2100
282000,1,0,3,1340
320000,1,0,3,1020
428750,1.5,0,4,2440
330000,2,0,3,1760
456500,3,0,3,1440
352000,1,0,4,1870
664000,1.5,0,4,1860
628000,1,0,3,2530
512000,1,0,3,1780
254000,1,0,4,1630
535800,2,0,3,2030
287653,1,0,4,1610
438000,2,0,3,1270
450000,1,0,3,1840
327000,2,0,3,2400
370500,2,0,3,1950
265000,2,0,3,1570
450000,1,0,4,1920
425000,1.5,3,5,2640
166600,1,0,4,1330
245000,1,0,3,1170
565000,1,0,3,1520
539900,1,0,3,1930
910000,2,0,3,1980
280000,2,0,3,2050
275000,2,0,4,1560
467000,2,0,3,2490
457500,2,0,3,1730
381156,1,0,4,1270
289999,1,0,4,2050
642450,1,0,3,1950
469950,1,0,3,1600
795000,1,2,5,2920
785000,2,0,3,2820
860000,2,0,3,3060
1.10E+06,3.5,2,3,2360
147500,1,0,3,1380
390000,1,0,3,2040
229000,1,0,3,1020
185000,1,0,3,1120
414900,1,0,3,1620
200000,1,0,2,1120
225000,1,0,3,2060
720000,2,0,5,1610
930000,2,0,5,2100
1.27E+06,1,0,3,4090
700000,2,0,4,2100
466000,3,0,3,1170
374000,1,0,3,1460
480000,2,0,4,2810
740000,2,0,3,3000
1.01E+06,1.5,0,3,1820
395000,2,0,3,2740
340000,1,0,3,1200
209000,2,0,3,1260
431650,1.5,0,3,1530
980000,1,0,4,3260
660000,2,0,3,2670
730000,2,0,4,2190
291500,1,0,4,1640
905000,2,0,3,3680
800000,1.5,0,3,3420
839900,1,1,3,3230
200000,2,0,3,1360
300000,1,0,4,1850
530000,1.5,0,5,1180
314950,2,0,3,1654
255000,1,0,5,1630
550000,1,0,5,2160
435000,1,0,4,1470
234000,1,0,4,1660
615000,1,0,3,2500
205000,1,0,3,1410
384000,1,0,4,1730
324000,2,0,3,2050
645000,1,0,4,1800
570000,2,0,3,1000
324000,2,0,3,1920
270000,1,0,3,1100
290000,1.5,0,5,1730
250000,1,0,3,1390
342000,2,0,3,1520
255000,1,0,4,1340
800000,1,0,4,2750
451000,1.5,2,3,1430
990000,1,3,3,2860
288400,1,0,4,1860
420000,2,0,3,1690
359000,2,0,3,1370
390000,1,0,3,2260
300000,2,0,3,1320
545000,1,0,3,2030
288349,1,0,4,1920
299900,1,0,3,1660
891000,1.5,0,5,2090
1.20E+06,1,3,4,2680
378000,2,0,3,2820
299995,1,0,4,1850
253000,1,0,3,1710
350000,1,0,3,1980
565000,1.5,0,3,1290
315000,1,0,4,1490
570000,1.5,1,5,1990
971000,2,0,3,2010
915000,1.5,0,5,1460
419000,1,0,4,2150
260000,1,0,3,1870
1.32E+06,2,0,3,2260
369950,1,0,3,1660
1.03E+06,2,0,3,3600
435000,1.5,0,3,1360
601000,1,0,3,2600
460500,1,0,3,1730
720000,3,3,3,1920
851000,2,0,3,2840
550000,2,2,3,2300
700000,1.5,0,3,1810
323000,1,0,4,1930
345500,1,0,5,2080
378000,1,0,3,2140
650000,3,0,5,1760
385000,1,0,3,1650
425000,1,0,3,1670
210000,1.5,0,5,1390
630000,2,0,3,2740
335000,1,1,3,1590
196500,1,0,3,1320
582800,1,0,3,2290
440000,1,0,3,1540
752500,2,0,4,2360
532500,2,0,4,1500
265000,1,0,4,1840
397500,1,3,4,2560
524250,2,0,3,2120
765000,2,0,3,3080
648000,2,0,3,2590
469500,1,0,4,2100
237500,1,0,4,1360
216000,1,0,4,1420
427200,1,0,4,1270
280000,1,0,4,1730
718000,1,0,4,2550
420000,2,0,3,1870
379000,1,0,3,1050
326100,1,0,3,1370
535000,3,0,3,1365
283000,1,0,3,2130
260000,1.5,0,3,1460
399000,1.5,0,4,980
484950,2,0,3,1850
640000,1,0,4,2260
585000,1,0,4,1520
645000,1,3,3,2580
253000,1,0,3,1590
178500,1,0,3,1170
291000,2,0,4,1860
199950,1.5,0,3,1310
553500,1,0,3,1300
189950,1,0,3,1450
289000,1,0,3,2250
700000,2,0,3,1650
270000,1,0,3,1610
258000,1,0,3,1840
530000,2,0,3,1930
245000,2,0,3,1677
563000,1.5,0,4,1350
515000,2,0,3,2500
325000,2,0,3,2610
540000,2,0,3,2220
280300,1,0,4,1500
460000,1.5,0,5,1640
475000,1,0,4,2140
900000,1,0,4,2830
538200,1,0,4,1810
429000,1,0,3,2230
164808,1,0,3,1490
520000,2,0,3,1970
475000,1,0,3,1800
283000,1,0,5,1530
321500,2,0,3,1930
840000,2,0,4,3330
287000,2,0,4,1370
375000,1,0,3,1650
349500,1,0,4,1330
446450,1,0,5,1140
315000,2,0,4,1930
271310,1.5,0,2,1190
315000,1.5,0,4,1330
245000,1,0,4,1880
543115,1,0,3,1380
900000,1.5,0,3,1190
2.45E+06,2,3,4,3640
554000,1,0,3,1670
249900,1,0,5,1690
768000,2,2,4,3460
980000,1,3,3,3140
395000,1,0,3,1950
415000,2,0,3,1360
380000,2,0,3,2430
566000,2,0,3,2170
218500,1,0,4,1502
550000,1,0,4,2200
512031,1,2,3,1420
197500,1,0,3,1660
470000,1,0,3,1780
590000,1,0,3,2320
465000,1,0,4,2030
499000,1,0,4,1850
515000,1,0,3,2260
716500,1,0,3,2300
410000,1,0,3,1440
850000,2,0,3,1750
1.05E+06,2,0,3,3440
648000,2,0,3,2730
620000,1.5,0,4,1250
935000,2,2,3,4100
379000,1,0,4,1140
699000,1,0,3,1460
528000,1,0,3,1860
425000,1,0,4,2200
249500,1,0,4,1220
1.04E+06,2,0,3,3720
790000,1,3,4,2790
399950,1,0,3,1750
275000,1,0,3,1910
550000,1.5,0,3,1880
140000,1,0,4,1790
250000,1,0,3,1760
318000,2,2,3,2050
505000,1,0,3,3050
470500,1,0,3,2090
360000,1.5,0,3,1380
1.24E+06,1,4,4,2940
986000,1,2,4,2560
515000,1,0,3,1060
320000,1,0,4,1160
310000,1,0,5,1470
356700,1,0,4,990
775000,1,0,3,1840
325000,1,0,3,1140
208000,1.5,0,3,1740
825000,1,4,4,2440
515000,1,2,3,2390
490000,1.5,0,4,1940
675000,1,0,3,2820
360000,1,0,5,1340
550000,1,0,5,1340
225000,1,0,3,1400
500000,1.5,0,4,2260
385000,1,0,4,2110
837700,2,0,3,2890
448000,2,0,3,1560
730000,1,0,4,2600
575000,1,2,3,2240
430000,1,0,4,1460
435000,2,0,3,1600
241000,1,0,4,1200
453500,1,0,4,2120
285000,3,0,3,1050
151000,1,0,4,860
1.57E+06,2,0,3,4750
631000,2,0,3,1320
285000,2,0,3,1580
195000,1,0,4,1140
817500,2,0,4,2720
550000,1,0,4,1490
1.13E+06,2,0,4,3000
609850,3,0,3,1910
200000,1,0,3,1525
367000,2,0,3,2960
285167,2,0,3,2200
275000,1,0,4,1270
350900,2,0,3,2410
660000,2,0,5,2360
525000,1,0,4,1760
262000,2,0,3,1160
690000,1,0,4,1500
624000,2,0,3,3160
353000,1,0,4,1130
552500,2,0,3,1720
224500,1.5,0,4,1550
239000,1,0,3,1100
